"table_name","field_name","field_value","language","translation"
"stops","stop_name","京山","ja","京山"
"stops","stop_name","京山","ja-Hrkt","キョウヤマ"
"stops","stop_name","京山中学校前","en","Kyoyama Chugakko-mae"
"stops","stop_name","京山中学校前","ja","京山中学校前"
"stops","stop_name","京山中学校前","ja-Hrkt","キョウヤマチュウガッコウマエ"
"stops","stop_name","京山入口","en","Kyoyama Iriguchi"
"stops","stop_name","京山入口","ja","京山入口"
"stops","stop_name","京山入口","ja-Hrkt","キョウヤマイリグチ"
"stops","stop_name","今七丁目","en","Ima 7-chome"
"stops","stop_name","今七丁目","ja","今七丁目"
"stops","stop_name","今七丁目","ja-Hrkt","イマナナチョウメ"
"stops","stop_name","今五丁目","en","Ima 5-chome"
"stops","stop_name","今五丁目","ja","今五丁目"
"stops","stop_name","今五丁目","ja-Hrkt","イマゴチョウメ"
"stops","stop_name","今保・ナガセヴィータ前","en","Imabo・Nagase viita-mae"
"stops","stop_name","今保・ナガセヴィータ前","ja","今保・ナガセヴィータ前"
"stops","stop_name","今保・ナガセヴィータ前","ja-Hrkt","イマボウ・ナガセヴィータマエ"
"stops","stop_name","今八丁目","en","Ima 8-chome"
"stops","stop_name","今八丁目","ja","今八丁目"
"stops","stop_name","今八丁目","ja-Hrkt","イマハッチョウメ"
"stops","stop_name","今六丁目","en","Ima 6-chome"
"stops","stop_name","今六丁目","ja","今六丁目"
"stops","stop_name","今六丁目","ja-Hrkt","イマロクチョウメ"
"stops","stop_name","今村宮","en","Imamura-gu"
"stops","stop_name","今村宮","ja","今村宮"
"stops","stop_name","今村宮","ja-Hrkt","イマムラグウ"
"stops","stop_name","今村宮北","en","Imamura-gu-kita"
"stops","stop_name","今村宮北","ja","今村宮北"
"stops","stop_name","今村宮北","ja-Hrkt","イマムラグウキタ"
"stops","stop_name","今村西","en","Imamura-nishi"
"stops","stop_name","今村西","ja","今村西"
"stops","stop_name","今村西","ja-Hrkt","イマムラニシ"
"stops","stop_name","企業団地中","en","Kigyo Danchi-naka"
"stops","stop_name","企業団地中","ja","企業団地中"
"stops","stop_name","企業団地中","ja-Hrkt","キギョウダンチナカ"
"stops","stop_name","企業団地北","en","Kigyo Danchi-kita"
"stops","stop_name","企業団地北","ja","企業団地北"
"stops","stop_name","企業団地北","ja-Hrkt","キギョウダンチキタ"
"stops","stop_name","企業団地南","en","Kigyo Danchi-minami"
"stops","stop_name","企業団地南","ja","企業団地南"
"stops","stop_name","企業団地南","ja-Hrkt","キギョウダンチミナミ"
"stops","stop_name","伊島校前","en","Ishimako-mae"
"stops","stop_name","伊島校前","ja","伊島校前"
"stops","stop_name","伊島校前","ja-Hrkt","イシマコウマエ"
"stops","stop_name","伊島町二丁目","en","Ishima-cho 2-chome"
"stops","stop_name","伊島町二丁目","ja","伊島町二丁目"
"stops","stop_name","伊島町二丁目","ja-Hrkt","イシマチョウニチョウメ"
"stops","stop_name","伊福町一丁目","en","Ifuku-cho 1-chome"
"stops","stop_name","伊福町一丁目","ja","伊福町一丁目"
"stops","stop_name","伊福町一丁目","ja-Hrkt","イフクチョウイッチョウメ"
"stops","stop_name","伊福町三丁目","en","Ifuku-cho 3-chome"
"stops","stop_name","伊福町三丁目","ja","伊福町三丁目"
"stops","stop_name","伊福町三丁目","ja-Hrkt","イフクチョウサンチョウメ"
"stops","stop_name","伊福町二丁目","en","Ifuku-cho 2-chome"
"stops","stop_name","伊福町二丁目","ja","伊福町二丁目"
"stops","stop_name","伊福町二丁目","ja-Hrkt","イフクチョウニチョウメ"
"stops","stop_name","住友重機械正門前","en","Sumitomo Jukikai Seimon-mae"
"stops","stop_name","住友重機械正門前","ja","住友重機械正門前"
"stops","stop_name","住友重機械正門前","ja-Hrkt","スミトモジュウキカイセイモンマエ"
"stops","stop_name","住友重機械西門","en","Sumitomo Jukikai Nishimon"
"stops","stop_name","住友重機械西門","ja","住友重機械西門"
"stops","stop_name","住友重機械西門","ja-Hrkt","スミトモジュウキカイニシモン"
"stops","stop_name","佐井田","en","Saida"
"stops","stop_name","佐井田","ja","佐井田"
"stops","stop_name","佐井田","ja-Hrkt","サイダ"
"stops","stop_name","作陽学園北","en","Sakuyo Gakuen-kita"
"stops","stop_name","作陽学園北","ja","作陽学園北"
"stops","stop_name","作陽学園北","ja-Hrkt","サクヨウガクエンキタ"
"stops","stop_name","作陽学園正門","en","Sakuyo Gakuen Seimon"
"stops","stop_name","作陽学園正門","ja","作陽学園正門"
"stops","stop_name","作陽学園正門","ja-Hrkt","サクヨウガクエンセイモン"
"stops","stop_name","イートンちどり保育園前","en","Eatone Chidori Hoikuen-mae"
"stops","stop_name","イートンちどり保育園前","ja","イートンちどり保育園前"
"stops","stop_name","イートンちどり保育園前","ja-Hrkt","イートンチドリホイクエンマエ"
"stops","stop_name","保育所前","en","Hoikusho-mae"
"stops","stop_name","保育所前","ja","保育所前"
"stops","stop_name","保育所前","ja-Hrkt","ホイクショマエ"
"stops","stop_name","倉商前","en","Kurasho-mae（Kurashiki Commercial High School）"
"stops","stop_name","倉商前","ja","倉商前"
"stops","stop_name","倉商前","ja-Hrkt","クラショウマエ"
"stops","stop_name","倉商東","en","Kurasho-higashi"
"stops","stop_name","倉商東","ja","倉商東"
"stops","stop_name","倉商東","ja-Hrkt","クラショウヒガシ"
"stops","stop_name","イオンモール倉敷","en","AEON MALL Kurashiki"
"stops","stop_name","イオンモール倉敷","ja","イオンモール倉敷"
"stops","stop_name","イオンモール倉敷","ja-Hrkt","イオンモールクラシキ"
"stops","stop_name","ゆめタウン倉敷","en","Youme Town Kurashiki"
"stops","stop_name","ゆめタウン倉敷","ja","ゆめタウン倉敷"
"stops","stop_name","ゆめタウン倉敷","ja-Hrkt","ユメタウンクラシキ"
"stops","stop_name","あちてらす倉敷前","en","Achi Terrace Kurashiki-mae"
"stops","stop_name","あちてらす倉敷前","ja","あちてらす倉敷前"
"stops","stop_name","あちてらす倉敷前","ja-Hrkt","アチテラスクラシキマエ"
"stops","stop_name","ＮＴＴ倉敷前","en","NTT Kurashiki-mae"
"stops","stop_name","ＮＴＴ倉敷前","ja","ＮＴＴ倉敷前"
"stops","stop_name","ＮＴＴ倉敷前","ja-Hrkt","エヌティーティークラシキマエ"
"stops","stop_name","イオンモール倉敷北","en","AEON MALL Kurashiki-kita"
"stops","stop_name","イオンモール倉敷北","ja","イオンモール倉敷北"
"stops","stop_name","イオンモール倉敷北","ja-Hrkt","イオンモールクラシキキタ"
"stops","stop_name","倉敷南小学校前","en","Kurashiki Minami Shogakko-mae（Kurashiki Minami Elementary School）"
"stops","stop_name","倉敷南小学校前","ja","倉敷南小学校前"
"stops","stop_name","倉敷南小学校前","ja-Hrkt","クラシキミナミショウガッコウマエ"
"stops","stop_name","倉敷南高校入口","en","Kurashiki Minami Koko Iriguchi"
"stops","stop_name","倉敷南高校入口","ja","倉敷南高校入口"
"stops","stop_name","倉敷南高校入口","ja-Hrkt","クラシキミナミコウコウイリグチ"
"stops","stop_name","倉敷市役所","en","Kurashiki City Hall"
"stops","stop_name","倉敷市役所","ja","倉敷市役所"
"stops","stop_name","倉敷市役所","ja-Hrkt","クラシキシヤクショ"
"stops","stop_name","倉敷成人病センター前","en","Kurashiki Seijinbyo Center-mae（Kurashiki Medical Center）"
"stops","stop_name","倉敷成人病センター前","ja","倉敷成人病センター前"
"stops","stop_name","倉敷成人病センター前","ja-Hrkt","クラシキセイジンビョウセンターマエ"
"stops","stop_name","倉敷消防署","en","Kurashiki Shobosho（Kurashiki Fire Station）"
"stops","stop_name","倉敷消防署","ja","倉敷消防署"
"stops","stop_name","倉敷消防署","ja-Hrkt","クラシキショウボウショ"
"stops","stop_name","倉敷第一病院前","en","Kurashiki Daiichi Byoin-mae(Kurashiki Daiichi Hospital)"
"stops","stop_name","倉敷第一病院前","ja","倉敷第一病院前"
"stops","stop_name","倉敷第一病院前","ja-Hrkt","クラシキダイイチビョウインマエ"
"stops","stop_name","倉敷自動車教習所前","en","Kurashiki Jidosha Kyoshusho-mae"
"stops","stop_name","倉敷自動車教習所前","ja","倉敷自動車教習所前"
"stops","stop_name","倉敷自動車教習所前","ja-Hrkt","クラシキジドウシャキュウシュウショマエ"
"stops","stop_name","倉敷芸科大学","en","Kurashiki Geika Daigaku（Kurashiki University of Science and the Arts）"
"stops","stop_name","倉敷芸科大学","ja","倉敷芸科大学"
"stops","stop_name","倉敷芸科大学","ja-Hrkt","クラシキゲイカダイガク"
"stops","stop_name","倉敷西年金事務所前","en","Kurashiki Nishi Nenkin Jimusho-mae"
"stops","stop_name","倉敷西年金事務所前","ja","倉敷西年金事務所前"
"stops","stop_name","倉敷西年金事務所前","ja-Hrkt","クラシキニシネンキンジムショマエ"
"stops","stop_name","倉敷駅","en","Kurashiki Sta."
"stops","stop_name","倉敷駅","ja","倉敷駅"
"stops","stop_name","倉敷駅","ja-Hrkt","クラシキエキ"
"stops","stop_name","倉敷駅北口","en","Kurashiki Sta. North Gate."
"stops","stop_name","倉敷駅北口","ja","倉敷駅北口"
"stops","stop_name","倉敷駅北口","ja-Hrkt","クラシキエキキタグチ"
"stops","stop_name","倉敷高校前","en","Kurashiki Koko-mae（Kurashiki High School）"
"stops","stop_name","倉敷高校前","ja","倉敷高校前"
"stops","stop_name","倉敷高校前","ja-Hrkt","クラシキコウコウマエ"
"stops","stop_name","倉田北","en","Kurata-kita"
"stops","stop_name","倉田北","ja","倉田北"
"stops","stop_name","倉田北","ja-Hrkt","クラタキタ"
"stops","stop_name","健幸プラザ前","en","Kenko Plaza-mae"
"stops","stop_name","健幸プラザ前","ja","健幸プラザ前"
"stops","stop_name","健幸プラザ前","ja-Hrkt","ケンコウプラザマエ"
"stops","stop_name","健康づくり財団病院前","en","Kenko-zukuri Zaidan Byoin-mae (Kenko-zukuri Zaidan Hospital)"
"stops","stop_name","健康づくり財団病院前","ja","健康づくり財団病院前"
"stops","stop_name","健康づくり財団病院前","ja-Hrkt","ケンコウヅクリザイダンビョウインマエ"
"stops","stop_name","備中庄","en","Bitchu-Sho"
"stops","stop_name","備中庄","ja","備中庄"
"stops","stop_name","備中庄","ja-Hrkt","ビッチュウショウ"
"stops","stop_name","備前白石","en","Bizen-Shiraishi"
"stops","stop_name","備前白石","ja","備前白石"
"stops","stop_name","備前白石","ja-Hrkt","ビゼンシライシ"
"stops","stop_name","備前野田","en","Bizen-Noda"
"stops","stop_name","備前野田","ja","備前野田"
"stops","stop_name","備前野田","ja-Hrkt","ビゼンノダ"
"stops","stop_name","元上町","en","Motouecho"
"stops","stop_name","元上町","ja","元上町"
"stops","stop_name","元上町","ja-Hrkt","モトウエチョウ"
"stops","stop_name","光政","en","Mitsumasa"
"stops","stop_name","光政","ja","光政"
"stops","stop_name","光政","ja-Hrkt","ミツマサ"
"stops","stop_name","光明園","en","Komyoen"
"stops","stop_name","光明園","ja","光明園"
"stops","stop_name","光明園","ja-Hrkt","コウミョウエン"
"stops","stop_name","光明園宮の段","en","Komyoen-Miyanodan"
"stops","stop_name","光明園宮の段","ja","光明園宮の段"
"stops","stop_name","光明園宮の段","ja-Hrkt","コウミョウエンミヤノダン"
"stops","stop_name","光明園木尾","en","Komyoen-Kio"
"stops","stop_name","光明園木尾","ja","光明園木尾"
"stops","stop_name","光明園木尾","ja-Hrkt","コウミョウエンキオ"
"stops","stop_name","光津","en","Kotsu"
"stops","stop_name","光津","ja","光津"
"stops","stop_name","光津","ja-Hrkt","コウツ"
"stops","stop_name","光生病院前","en","Kousei Byoin-mae（Kousei Hospital）"
"stops","stop_name","光生病院前","ja","光生病院前"
"stops","stop_name","光生病院前","ja-Hrkt","コウセイビョウインマエ"
"stops","stop_name","免許センター","en","Menkyo Center (Driver's License Center)"
"stops","stop_name","免許センター","ja","免許センター"
