"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"29003_290552_1","29_920_20251001","920_292014753_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014761_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014757_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021291_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014760_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022691_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022692_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022692_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022689_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022689_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022682_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022679_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022681_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022690_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022690_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022677_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022678_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022698_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022698_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022696_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022696_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022697_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022697_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022693_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022693_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022672_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022695_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022695_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022676_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022680_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022694_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022694_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022673_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022699_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_920_20251001","920_292022699_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022675_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_918_20251001","918_292022674_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290501_1","29_921_20251001","921_292022691_20251001","倉敷駅",,,,"3_290501_1",,,"29"
"29004_290502_1","29_918_20251001","918_292022684_20251001","倉敷駅",,,,"3_290502_1",,,"29"
"29004_290502_1","29_918_20251001","918_292022686_20251001","倉敷駅",,,,"3_290502_1",,,"29"
"29004_290502_1","29_918_20251001","918_292022683_20251001","倉敷駅",,,,"3_290502_1",,,"29"
"29004_290502_1","29_918_20251001","918_292022685_20251001","倉敷駅",,,,"3_290502_1",,,"29"
"29004_290502_1","29_918_20251001","918_292022687_20251001","倉敷駅",,,,"3_290502_1",,,"29"
"29005_291011_1","29_921_20251001","921_292021334_20251001","岡山駅",,,,"3_291011_1",,,"29"
"29005_291011_1","29_920_20251001","920_292021334_20251001","岡山駅",,,,"3_291011_1",,,"29"
"29005_291011_1","29_918_20251001","918_292021327_20251001","岡山駅",,,,"3_291011_1",,,"29"
"29005_291012_1","29_918_20251001","918_292021341_20251001","倉敷駅",,,,"3_291012_1",,,"29"
"29005_291021_1","29_918_20251001","918_292021328_20251001","岡山駅",,,,"3_291021_1",,,"29"
"29005_291021_1","21_934_20251001","934_292021335_20251001","岡山駅",,,,"3_291021_1",,,"21"
"29005_291021_1","29_920_20251001","920_292021336_20251001","岡山駅",,,,"3_291021_1",,,"29"
"29005_291021_1","29_921_20251001","921_292021336_20251001","岡山駅",,,,"3_291021_1",,,"29"
"29005_291021_1","21_935_20251001","935_292021335_20251001","岡山駅",,,,"3_291021_1",,,"21"
"29005_291022_1","29_920_20251001","920_292021350_20251001","中庄駅",,,,"3_291022_1",,,"29"
"29005_291022_1","29_918_20251001","918_292021343_20251001","中庄駅",,,,"3_291022_1",,,"29"
"29005_291022_1","29_921_20251001","921_292021350_20251001","中庄駅",,,,"3_291022_1",,,"29"
